ingredient,wikipedia_link,description,source
CASTOR OIL,https://en.wikipedia.org/wiki/Castor_oil,"Castor oiland its derivatives are found in many cosmetics as it is ""non-comedogenic"" (does not exacerbate or contribute to acne).[3]",wikipedia_scraping
CEREBROSIDES,https://en.wikipedia.org/wiki/Cerebroside,"Cerebrosides(cells from the nervous systems of cattle or swine) were once used in some high-end skin-care products to increase moisture retention and to create a smooth skin surface,[4]however theBSEc",wikipedia_scraping
BSE,https://en.wikipedia.org/wiki/Bovine_spongiform_encephalopathy,"Cerebrosides(cells from the nervous systems of cattle or swine) were once used in some high-end skin-care products to increase moisture retention and to create a smooth skin surface,[4]however theBSEc",wikipedia_scraping
COLOUR INDEX INTERNATIONAL,https://en.wikipedia.org/wiki/Colour_Index_International,"In many countries colors in cosmetics are listed as numbers from theColour Index International. The scheme covers colors used in food, personal care products, cosmetics, household products and fabric ",wikipedia_scraping
TARTRAZINE,https://en.wikipedia.org/wiki/Tartrazine,"In many countries colors in cosmetics are listed as numbers from theColour Index International. The scheme covers colors used in food, personal care products, cosmetics, household products and fabric ",wikipedia_scraping
ERYTHROSINE,https://en.wikipedia.org/wiki/Erythrosine,"In many countries colors in cosmetics are listed as numbers from theColour Index International. The scheme covers colors used in food, personal care products, cosmetics, household products and fabric ",wikipedia_scraping
DYE,https://en.wikipedia.org/wiki/Dye,"Strong red colors for eye products have been produced using thedyecarmine, made fromcarminic acidextracted from the crushed bodies of thecochinealinsect.[6]Carmine was once the only bright red color p",wikipedia_scraping
CARMINE,https://en.wikipedia.org/wiki/Carmine,"Strong red colors for eye products have been produced using thedyecarmine, made fromcarminic acidextracted from the crushed bodies of thecochinealinsect.[6]Carmine was once the only bright red color p",wikipedia_scraping
CARMINIC ACID,https://en.wikipedia.org/wiki/Carminic_acid,"Strong red colors for eye products have been produced using thedyecarmine, made fromcarminic acidextracted from the crushed bodies of thecochinealinsect.[6]Carmine was once the only bright red color p",wikipedia_scraping
COCHINEAL,https://en.wikipedia.org/wiki/Cochineal,"Strong red colors for eye products have been produced using thedyecarmine, made fromcarminic acidextracted from the crushed bodies of thecochinealinsect.[6]Carmine was once the only bright red color p",wikipedia_scraping
MINERAL,https://en.wikipedia.org/wiki/Mineral,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
MICA,https://en.wikipedia.org/wiki/Mica,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
TITANIUM DIOXIDE,https://en.wikipedia.org/wiki/Titanium_dioxide,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
GONIOCHROMISM,https://en.wikipedia.org/wiki/Goniochromism,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
WAX,https://en.wikipedia.org/wiki/Wax,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
GLYCOL DISTEARATE,https://en.wikipedia.org/wiki/Glycol_distearate,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
FISH SCALES,https://en.wikipedia.org/wiki/Fish_(zoology),"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
HERRING,https://en.wikipedia.org/wiki/Herring,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
FISH PROCESSING,https://en.wikipedia.org/wiki/Fish_processing,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
BISMUTH OXYCHLORIDE,https://en.wikipedia.org/wiki/Bismuth_oxychloride,"Pearlescence, also sometimes spelled as ""pearl essence"", is a shine or gloss effect commonly used in a wide variety of cosmetic products.  The most usual source of pearlescence is the naturalmineralmi",wikipedia_scraping
